Question Number,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.10,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,2.20,2.23,2.24,2.25,2.26,2.27,2.28,2.29,2.30,2.31,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,3.10,3.11,3.12,3.13,3.14,3.15,3.16,3.17,3.18,3.19,3.20,3.21,3.22,3.23,3.24,3.25,3.26,3.27,3.28,3.29,3.30,3.31,3.32,3.33,3.34,3.35,3.36,3.37,3.38,3.39,3.40,3.41,3.42,3.43,3.44,3.45,3.46,3.47,3.48,3.49,3.50,3.51,3.52,3.53,3.54,3.55,3.55b,3.56,3.57,3.58,3.59,3.60,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,4.10,4.11,4.12,4.13,4.14,4.15,4.16,4.17,4.18,4.19,4.20,4.21,4.22,4.23,4.24,4.25,4.26,4.27,4.28,4.29,4.30,4.31,4.32,4.33,4.34,4.35,4.36,4.37,4.38,4.39,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,5.10,5.11,5.12,5.13,5.14,5.15,5.16,5.17,5.18,5.19,5.20,5.21,5.22,5.23,5.24,5.25,5.26,5.27,5.28,5.29,5.30,5.31,5.32,5.33,5.34,5.35,5.36,5.37,5.38,5.39,5.40,5.41,5.42,5.43,5.44,5.45,5.46,5.47,5.48,5.49,5.50,5.51,5.52,5.53,5.54,5.55,5.56,5.57,5.58,5.59,5.60,5.61,5.62,5.63,5.64,5.65,5.66,5.67,5.68,5.69,5.70,5.71,5.72,5.73,,,,,,,,,,,,,5.76,5.77,5.78,5.79,,,,,5.80,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,6.10,6.11,6.12,6.13,6.14,6.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19,6.20,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,7.10,7.11,7.12,7.13,7.14,9.1,9.2,9.3
Description,Library Name,Street Address,Mailing Address,City,Zip,County,Phone number,System,Local population,Population of Legal Service Area,Number of branch libraries,Number of bookmobiles,Year current library facility was built,Date of latest addition/renovation,Is facility accessible?,Have a building plan or project?,Active fundraising campaign for a new or renovated library building?,Construction project currently underway,Projected completion date,Library building(s) square footage,Number of actual weeks per year each library outlet is open,Legal Basis Code,Administrative Structure Code,Geographic Code,FSCS Public Library Definition,Interlibrary Relationship Code,Legal Service Area Boundary Change,Number of Central Libraries,Public service hours per year (sum of all outlets),Start date of fiscal year,End date of fiscal year,"City, village operating revenue",Township name,Township operating revenue,County name,County operating revenue,Other source of local government operating revenue,Amount of other local government operating revenue,Total local government revenue,Library state aid amount,NLC CE/Training grant,NLC Youth Grant,Other state government revenue,Total state government revenue,Federal Library Improvement/LSTA grant,Other federal grant source,Other federal grant amount,Total federal government revenue,Lender compensation,System grants,Other funding source,Other funding amount,Total other revenue,Total operating revenue,Local government capital revenue,State government capital revenue,Federal government capital revenue,Other capital revenue,Total capital revenue,Charge non-resident fee?,Who is charged?,Individual annual fee,Household annual fee,Number non-resident cards issued this year,Salaries and wages,Employee benefits,Total staff expenditures,Health insurance,Life insurance,Unemployment compensation,Sick leave,Vacation leave,Retirement plan,Family leave,"Travel to meetings, conferences",Professional memberships,"Continuing education, workshops",Other,Print materials expenditures,Electronic materials expenditures,Other materials expenditures,Total collection expenditures,Computer hardware and software,Electronic access,ISP Fees Paid,Continuing education  ,Miscellaneous,Total other operating expenditures,Total operating expenditures,Total capital expenditures,Number books held end of previous year,Number books added,Number books withdrawn,Number books held at end of current year,Number audio materials held end of previous year,Number audio materials added,Number audio materials withdrawn,Number audio materials held at end of current year,Number videos held end of previous year,Number videos added,Number videos withdrawn,Number videos held at end of current year,Number print subscriptions held end of previous year,Number print subscriptions added,Number print subscriptions withdrawn,Number print subscriptions held at end of current year,Description of other items,Number of other items held at end of previous year,Number of other items added during year,Number of other items withdrawn during year,Number of other items held at end of current year,Total materials held at end of previous year,Total materials added during year,Total materials withdrawn,Total physical materials held at end of current year,Other non-circulating items description,Other non-circulating items use,Ebooks Funded by Library,Ebooks funded by consortium,Ebooks funded by state library,Eserials funded by library,Eserials funded by consortium,Eserials funded by state library,Eaudio funded by library,Eaudio funded by consortium,Eaudio funded by state library,Evideo funded by library,Evideo funded by consortium,Evideo funded by state library,Number registered borrowers,Annual library visits,Visits reporting method,Annual reference transactions,Reference transaction reporting method,Annual uses of public Internet computers,Computer use reporting method,"Circulation of adult books, audio physical units, and video physical units","Circulation of Children's books, audio physical units, and video physical units",Total Annual Circulation of Other Physical Items,Physical Item Circulation,Circulation of adult ebooks,Circulation of Children's Ebooks,Total eBook Circulation,Circulation of Adult E-Serials,Circulation of Children’s E-Serials,Total e-serial circulation,Circulation of Adult E-Audio,Circulation of Childrens E-Audio,Total E-Audio Circulation,Circulation of Adult E-Video,Circulation of Childrens E-Video,Total E-Video Circulation,Total Electronic Circulation,Total Adult Circulation,Total Childrens Circulation,Total Circulation,Research databases funded by library,Research databases funded by consortium,Research databases funded by state library,Online learning platforms provided by library,Online learning platforms funded by consortium,Online learning platforms funded by state library,Total library materials loaned to other libraries,Total library materials borrowed from other libraries,Number NebrasKard registrations issued this year,Share titles via Advantage Plus option?,Advantage plus uses,children's ages 0-5 programs,children's ages 6-11 programs,Total children's programs,young adult ages 12-18 programs,adult ages 19+ programs,General Interest Programs,Total Programs by age category,onsite programs,off-site programs,"live, virtual programs",Total programs by where held,Attendance Targeted to Age 0-5,Attendance Targeted to Age 6-11,Attendance Targeted to Age 0-11,Attendance Targeted to Age 12-18,Attendance Targeted to Age 19+,Attendance Targeted to General Interest,Total Program Attendance by age category,onsite program attendance,off-site program attendance,virtual program attendance,Total program attendance by where held,Recorded Program Presentations,Views of Recorded Program Presentations within 7 days,Views of Recorded Program Presentations (fiscal year),childrens self-directed activities 11 and younger,young adult self-directed activities 12-18,adult/general interest self-directed activities,Summer reading program for children?,Summer reading number participation (children),Summer reading program for young adults?,Summer reading number participation (young adults),Summer reading program for adults?,Summer reading number completed (adults),overdue fines - borrower type,Books,DVD,CD,Large Print,Other (specify),overdue fines - age,Children (11 and under),Young Adult (12-18),Adult,Senior,Other (specify),N/A,meeting rooms,meeting room(s) use,meeting room charge for use,Outside circ. - drive thru,Curbside pickup,Vestibule/locker pickup,Homebound or other delivery,Outside Other (specify),AutoRenew,Name of automation system,Public Internet Access Provided,Number Internet computers used by public,Filtering software,ISP,Type of Primary Internet Connection,Wireless Internet access available for patrons,Wireless sessions,Wireless reporting method,Maximum download speed,Public access computers,Software installed,Wired internet download speed,Mobile internet download speed,makerspace,3d Print,3d Scan,Laser cutter,Vinyl cutter,CNC,Sewing,Laptop,Tablet,Early tech,Digital Media,Rec games,Robotics,Electronics,Virtual reality,code camp,video game design,3d modeling,Other,3D Print Prog,3D Scan Prog,Laser Cutter Prog,Vinyl Cutter Prog,CNC Prog,Sewing Prog,Laptop Prog,Tablet Prog,Early tech prog,Digital Media Prog,Rec game Prog,Robotics Prog,Electronics Prog,Virtual reality Prog,code camp prog,video game prog,3d modeling prog,Other,Online Security prog,Online Communication prog,Buying Things Online prog,Online Etiquette prog,Digital Law prog,Digital Health and Wellness prog,Online Privacy prog,hotspot lending program,hotspots loaned,Paid librarians,Total Paid Librarian Hours per Week,Total Paid Librarians (FTE),Librarians with MLS Degree,Total MLS librarians hours per week,Total MLS librarians (FTE),All other non-librarian paid staff,Total Non-Librarian Hours per Week,All Other Paid Staff (FTE),Total paid staff (FTE),Job title,Hourly wage,Total number of volunteers,Estimate the number of total volunteer hours per week,Name of person completing report,Title,Date
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AGNES ROBINSON WATERLOO PUBLIC LIBRARY,23704 CEDAR DRIVE,23704 CEDAR DRIVE,WATERLOO,68069,DOUGLAS,(402) 779-4171,Three Rivers Library System,912,"1,736",0,0,2006,N/A,Yes,No,No,No,N/A,"5,000",52,CI,SO,CO3,Y,ME,N,1,"1,888",10/1/2023,9/30/2024,"$116,785",,,Douglas,"$27,704",,,"$144,489","$1,241",$0,$0,$0,"$1,241",$0,,$0 ,$0,$0,$0,The Robinson Foundation,"$10,893","$10,893","$156,623",$0,$0,$0,$0,$0,No,N/A,N/A,N/A,153,"$95,406","$15,859","$111,265",1,1,1,1,1,1,,1,1,1,,"$10,778",$500,"$1,676","$12,954","$3,340",$0,"$1,349",0,"$25,769","$30,458","$154,677",$0,"21,355",872,"2,248","19,979","1,101",16,0,"1,117","3,780",54,14,"3,820",0,0,0,0,"STREAM Kits, Toys, Tech, Puzzles",614,20,29,605,"26,850",962,"2,291","25,521","Headphones, headphone adapters",6,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,"2,997","8,120",CT - Annual Count,400,ES - Annual Estimate Based on Typical Week(s),400,ES - Annual Estimate Based on Typical Week(s),2397,7207,1157,"10,761","1,134",221,"1,355",831,7,838,"1,542",459,"2,001",0,0,0,"4,194","5,904","7,894","14,955",No,No,Yes,No,No,No,0,237,0,N/A,0,49,88,137,2,43,15,197,197,0,0,197,385,901,"1,286",14,290,650,"2,240","2,240",0,0,"2,240",0,0,0,18,2,11,Yes,72,Yes,17,Yes,20,No,,,,,,,,,,,,,Yes,90,Yes,,1,,,,Yes,Biblionix Apollo,Yes,8,Block Site,Cox,Cable,Yes,N/A,N/A,12.1 Mbps - 18.0 Mbps,No,N/A,12,15,Yes - Permanently allocated makerspace,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Hotspot for mobile wifi,Yes - Formal training or programs,,,Yes - Informal or one on one training,,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes,1,2,80,2,0,0,0.00,0,0,0.00,2,Library Director,$24.75,2,3,Meagan Pruitt,Director,2/18/2025
,AINSWORTH PUBLIC LIBRARY,445 NORTH MAIN STREET,PO BOX 207,AINSWORTH,69210,BROWN,402-387-2032,Central Plains Library System,"1,590","1,590",0,0,1980,2010,Yes,No,No,No,n/a,"3,660",52,CI,SO,PL1,Y,ME,N,1,"1,768",10/1/2023,9/30/2024,"$115,438",,,Brown,"$11,000",,,"$126,438","$1,317",$0,$0,$0,"$1,317",$0,,$0 ,$0,$0,$0,"Foundation, ILL, library cards, sales tax, copies, book sale, fines","$36,736","$36,736","$164,491",$0,$0,$0,$0,$0,Yes,People living outside of Brown County,$35,$0,4,"$68,743","$23,866","$92,609",1,1,1,1,1,1,1,1,1,1,n/a,"$12,215","$1,405",$314,"$13,934","$3,591","$1,728",$0,$446,"$51,463","$57,228","$163,771",$0,"26,174",613,408,"26,379",945,15,30,930,"1,450",74,18,"1,506",71,1,1,71,"Cake pans, puzzles, puppets, games",717,75,56,736,"29,286",777,512,"29,551","headphones, microfilm, legos, newspape, makerspace equipment",80,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,"1,522","23,357",ES - Annual Estimate Based on Typical Week(s),"2,859",ES - Annual Estimate Based on Typical Week(s),637,ES - Annual Estimate Based on Typical Week(s),"3,170","3,105",476,"6,751","2,898",177,"3,075",645,23,668,"2,110",354,"2,464",0,0,0,"6,207","8,823","3,659","12,958",Yes,No,Yes,No,No,No,2,135,3,No,0,30,30,60,15,12,3,90,87,3,0,90,185,270,455,35,98,92,680,466,214,0,680,0,0,0,20,16,9,Yes,213,No,0,No,0,Yes – for all items,1,1,1,1,"Magazines, cake pans, games",1,1,1,1,1,n/a,1,Yes,8,Yes,0,1,0,1,n/a,No,Atriummn Book Systems,Yes,10,None,Three River Communications,Fiber Optic,Yes,n/a,N/A,100.0 Mbps - 1 Gbps,Yes,Deep Freeze,209,71,Yes - Permanently allocated makerspace,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,"Heat Press, Crucit, Mug Press, Button Ma",,,,Yes - Informal or one on one training,,,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,,No,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,Yes - Informal or one on one training,No,0,3,69,2,0,1,0.03,1,3,0.08,2,Director,$23.01,1,2,Gail Irwin,Director,01/18/2025
,ALBION PUBLIC LIBRARY,437 SOUTH 3RD STREET,437 SOUTH 3RD STREET,ALBION,68620,BOONE,402-395-2021,Three Rivers Library System,"1,680","1,680",0,0,1908,1976,Yes,Yes,No,No,,"2,849",52,CI,SO,PL1,Y,ME,N,1,"2,496",10/1/2023,9/30/2024,"$122,171",,,,,,,"$122,171","$1,021",$0,$0,$0,"$1,021",$0,,$0 ,$0,$0,$0,,,$0,"$123,192",$0,$0,$0,$0,$0,No,0,$0,$0,21,"$71,844","$6,826","$78,670",,,,,1,,,1,1,1,n/a,"$12,448",$500,$185,"$13,133","$3,059",$0,"$1,812",$10,"$23,718","$28,599","$120,402",$0,"17,496",395,867,"17,024",254,10,15,249,587,9,0,596,31,0,0,31,Cake Pans,119,2,0,121,"18,456",416,882,"17,990",We added some historical materials that we got from another library.,n/a,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,"1,696","7,322",CT - Annual Count,"4,500",ES - Annual Estimate Based on Typical Week(s),"1,134",CT - Annual Count,"10,960","6,950",135,"18,045","1,603",221,"1,824",259,1,260,"2,264",206,"2,470",0,0,0,"4,554","15,086","7,378","22,599",No,No,Yes,No,No,No,0,42,0,N/A,0,15,41,56,19,1,1,77,76,1,0,77,194,688,882,688,100,2,"1,672","1,572",100,0,"1,672",0,0,0,0,0,0,Yes,53,No,0,No,0,Yes – for some patrons,1,1,1,1,n/a,0,1,1,1,1,n/a,,No,n/a,No,,1,,1,,No,Follett,Yes,13,none,Vyve,Fiber Optic,Yes,N/A,ES - Annual Estimate Based on Typical Week(s),100.0 Mbps - 1 Gbps,Yes,Deep Freeze,103,55,Yes - Permanently allocated makerspace,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,0,,,,,,,No,Yes - Formal training or programs,Yes - Formal training or programs,,,,Yes - Formal training or programs,,,,,No,No,No,No,No,No,No,No,No,n/a,1,32,0.80,0,0,0.00,3,32,0.80,2,Library Director,$28.38,2,0,Staci Wright,Library Director,2/14/2025
,ALICE M FARR LIBRARY,1603 L STREET,1603 L STREET,AURORA,68818,HAMILTON,402-694-2272,Southeast Library System,"4,704","4,704",0,0,1989,1989,Yes,No,No,No,,"10,000",52,CI,SO,PL1,Y,ME,N,1,"2,652",10/1/2023,9/30/2024,"$251,953",,,,,Collection of Sales Tax,"$1,658","$253,611","$1,462",$0,$0,$0,"$1,462",$0,,$0 ,$0,$0,$0,,,$0,"$255,073",$0,$0,$0,$0,$0,Yes,Anyone living outside the City limits,$5,$5,211,"$126,101","$36,397","$162,498",1,1,1,1,1,1,1,1,1,1,,"$23,157","$1,000","$4,000","$28,157",$936,"$2,590","$1,128",$0,"$63,482","$68,136","$258,791",$0,"57,616","1,162","1,845","56,933","1,239",29,1,"1,267","1,580",28,33,"1,575",312,0,0,312,"Microfilm, Cake Pans",136,0,0,136,"60,571","1,219","1,879","59,911",,0,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,"3,983","9,000",ES - Annual Estimate Based on Typical Week(s),115,ES - Annual Estimate Based on Typical Week(s),"5,295",ES - Annual Estimate Based on Typical Week(s),"11,842","18,311",0,"30,153","4,988","1,116","6,104",294,2,296,"4,945","1,367","6,312",0,0,0,"12,712","22,069","20,796","42,865",No,No,Yes,No,No,No,0,33,0,No,,1,1,2,3,3,3,11,11,0,0,11,20,20,40,15,55,55,165,165,0,0,165,0,0,0,0,0,0,Yes,45,No,0,No,0,Yes – for all items,1,1,1,1,Periodicals,,,0,1,1,,,Yes,475,No,,,,1,,No,Biblionix,Yes,6,None,Hamilton Telecommunications,Fiber Optic,Yes,NA,ES - Annual Estimate Based on Typical Week(s),50.1 Mbps - 100.0 Mbps,No,,53,58,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,We Have BOOKS,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,,1,40,1,0,0,0.00,5,80,2,3,Director,$25.00,0,0,Janette Thomsen,Director,1/27/2025
,ALLIANCE PUBLIC LIBRARY,"1750 SWEETWATER AVENUE, SUITE 101","1750 SWEETWATER AVENUE, SUITE 101",ALLIANCE,69301,BOX BUTTE,(308) 762-1387,Western Library System,"8,056","8,056",0,0,1999,N/A,Yes,No,No,No,N/A,"15,170",52,CI,SO,PL1,Y,ME,N,1,"2,756",10/1/2023,9/30/2024,"$739,228",,,,,,,"$739,228","$1,236",$0,$0,$0,"$1,236",$0,,$0 ,$0,$0,$0,,,$0,"$740,464",$0,$0,$0,$0,$0,Yes,Those residing outside City limits,$25,$25,110,"$239,991","$71,210","$311,201",1,1,1,1,1,1,1,1,1,1,,"$24,939","$8,202","$6,851","$39,992","$1,867","$16,524","$4,569",$0,"$188,969","$211,929","$563,122",$0,"35,980",881,"1,267","35,594",44,0,7,37,"1,556",51,151,"1,456",4,0,0,4,"Backpacks, Boovie Bags, Kitchen",498,10,93,415,"38,078",942,"1,518","37,502",,,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,"3,997","30,789",CT - Annual Count,"7,000",ES - Annual Estimate Based on Typical Week(s),"1,452",CT - Annual Count,"13,685","28,668",45,"42,398","5,618",652,"6,270",840,5,845,"7,339",743,"8,082",0,0,0,"15,197","27,482","30,068","57,595",No,Yes,Yes,No,No,No,0,180,0,No,,277,161,438,47,99,27,611,519,92,0,611,"1,337","1,277","2,614",330,"1,130",295,"4,369","3,285","1,084",0,"4,369",0,0,0,14,4,,,,,,,,Yes – for all items,,,,,,,,,,,,,Yes,208,No,1,1,,1,,No,Biblionix Apollo,Yes,4,None,Allo,Fiber Optic,Yes,1470,ES - Annual Estimate Based on Typical Week(s),100.0 Mbps - 1 Gbps,Yes,Userful,807,46,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,,4,145,4,1,40,1,6,80,2,6,Library Director,$36.89,1,2,Stephanie OConnor,Library Director,1/20/2025
,ANSLEY TOWNSHIP LIBRARY,619 MAIN STREET,PO BOX 96,ANSLEY,68814,CUSTER,(308) 880-0694,Central Plains Library System,469,611,0,0,,,,,,,,"5,625",,CI,SO,PL2,Y,ME,N,1,0,7/1/2023,6/30/2024,,,,,,,,$0,,,,,$0,,,$0 ,$0,,,,,$0,$0,,,,,$0,,,,,,,,$0,,,,,,,,,,,,,,,$0,,,,,,$0,$0,,,,,0,,,,0,,,,0,,,,0,,,,,0,0,0,0,0,,,,,No,,,,,,No,,,No,,,,,,,,,,,0,,,0,,,0,,,0,,,0,0,0,0,0,,,Yes,,,No,,,,,,,,0,,,,0,,,,0,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,0.00,,,0.00,0.00,,,,,,,
,ARAPAHOE PUBLIC LIBRARY,306 NEBRASKA AVENUE,PO BOX 598,ARAPAHOE,68922,FURNAS,(308) 962-7806,Central Plains Library System,963,963,0,0,1959,2021,Yes,No,No,No,,4598,52,CI,SO,PL1,Y,ME,N,1,"1,482",10/1/2023,9/30/2024,"$93,000",,,,,,,"$93,000","$1,112",$0,$0,$0,"$1,112",$0,,$0 ,$0,$0,$418,"Donations, fines, book sales,","$3,043","$3,461","$97,573",$0,$0,$0,$0,$0,No,,,,,"$58,590","$4,482","$63,072",,,,,,,,1,1,1,,"$11,331",$500,$75,"$11,906",$0,$840,"$2,592",$137,"$27,607","$31,176","$106,154",$0,"16,089",741,"1,984","14,846",148,0,148,0,"2,255",4,11,"2,248",12,0,2,10,Cake Pans and Kits,34,0,0,34,"18,526",745,"2,143","17,128",Children's toys,312,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,740,"3,905",ES - Annual Estimate Based on Typical Week(s),240,ES - Annual Estimate Based on Typical Week(s),206,ES - Annual Estimate Based on Typical Week(s),"5,351","8,510",59,"13,920","1,012",125,"1,137",301,37,338,"1,329",136,"1,465",0,0,0,"2,940","7,993","8,808","16,860",No,No,Yes,No,No,No,0,67,0,N/A,,15,85,100,8,15,17,140,132,8,0,140,158,"2,480","2,638",57,167,"1,099","3,961","3,469",492,0,"3,961",0,0,0,120,0,24,Yes,58,Yes,8,Yes,16,Yes – for some material types,,1,,,,,,,,,,1,Yes,16,Yes,1,1,,1,,Yes,KOHA,Yes,2,Plume,ATC,Fiber Optic,Yes,NA,N/A,100.0 Mbps - 1 Gbps,Yes,Deep Freeze,533,356,Yes -Temporary or shared space for makerspace,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Lego Club / Crafts,,,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,,,,,,,,,,,Yes - Informal or one on one training,Yes - Informal or one on one training,Yes - Informal or one on one training,No,No,No,No,No,,7,61,2,0,0,0.00,1,8,0.20,2,Director,$20.57,12,1,Jennifer Einspahr,Director,1/30/2025
